"","id","downloads","citations","views","total_checks","passed_checks","warning_checks","failed_checks","failures"
"1","doi%3A10.6085%2FAA%2FIOCCXX_XXXITBPXMSR00_20090101.50.3",0,0,76,20,14,3,3,"The abstract is only 40 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"2","doi%3A10.6085%2FAA%2FYBHX00_XXXITBDXLSR03_20041111.50.6",0,0,76,20,13,4,3,"The abstract is only 60 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"3","doi%3A10.5063%2FAA%2Fknb.279.1",0,0,434,16,15,0,1,"The document is not licensed with a Creative Commons CC-0 or CC-BY license.identification"
"4","doi%3A10.6085%2FAA%2FSWC001_022MXTI013R00_20080208.50.1",1,0,65,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"5","doi%3A10.5063%2FAA%2Fdpennington.57.5",23,0,252,16,12,2,2,"The document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identification"
"6","doi%3A10.6085%2FAA%2FLAC001_023MTBD013R00_20080205.50.1",0,0,71,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"7","doi%3A10.6085%2FAA%2FHMS001_020ADCP019R00_20061201.50.6",2,0,89,20,15,2,3,"The abstract is only 68 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"8","doi%3A10.6085%2FAA%2FHAZXXX_015MTBD014R00_20030325.50.5",0,0,81,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"9","doi%3A10.6085%2FAA%2FSRKX00_XXXITV2XMMR01_20100517.50.1",5,0,63,20,13,4,3,"The abstract is only 81 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"10","doi%3A10.6085%2FAA%2FCUYXXX_015MTBD009R00_20090115.50.1",1,0,10,20,14,3,3,"The abstract is only 59 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"11","doi%3A10.6085%2FAA%2FYBHX00_XXXITBDXLSR01_20080217.50.1",1,0,4,20,13,4,3,"The abstract is only 79 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"12","doi%3A10.6085%2FAA%2FFCKX00_XXXITV2XMMR03_20120217.50.1",10,0,13,20,13,4,3,"The abstract is only 81 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"13","urn%3Auuid%3Adddaa020-1038-4c34-a270-67a5a16e2f23",23,0,36,16,13,1,2,"The abstract is only 99 word(s) long but 100 or more is required.discoveryA publication date is not present.identification"
"14","doi%3A10.5063%2FAA%2Fnrs.444.1",0,0,159,16,10,1,5,"The abstract is only 21 word(s) long but 100 or more is required.discoveryThe number of words in the dataset's title is 6. The minimum recommended word count is 7.identificationThe document is not licensed with a Creative Commons CC-0 or CC-BY license.identificationA publication date is not present.identification1 of 1 method step descriptions have fewer than the minimum recommended 7 wordsinterpretation"
"15","doi%3A10.6085%2FAA%2FSWC001_022MXTI005R00_20100118.50.1",1,0,69,20,14,3,3,"The abstract is only 58 word(s) long but 100 or more is required.discoveryMore than one license was found which was an unexpected state.identificationA publication date is not present.identification"
"16","nrs.906.1",0,0,167,16,13,2,1,"The document is not licensed with a Creative Commons CC-0 or CC-BY license.identification"
"17","doi%3A10.5063%2FF1TQ5ZVT",186,0,29,16,13,2,1,"A publication date is not present.identification"
