"","x"
"1","https://www.icpsr.umich.edu/web/ICPSR/studies/21600"
"2","https://www.icpsr.umich.edu/web/ICPSR/studies/7610"
"3","https://www.icpsr.umich.edu/web/ICPSR/studies/7010"
"4","https://www.icpsr.umich.edu/web/ICPSR/studies/7763"
"5","https://www.icpsr.umich.edu/web/ICPSR/studies/2231"
"6","https://www.icpsr.umich.edu/web/ICPSR/studies/7381"
"7","https://www.icpsr.umich.edu/web/ICPSR/studies/7281"
"8","https://www.icpsr.umich.edu/web/ICPSR/studies/9028"
"9","https://www.icpsr.umich.edu/web/ICPSR/studies/7235"
"10","https://www.icpsr.umich.edu/web/ICPSR/studies/8298"
"11","https://www.icpsr.umich.edu/web/ICPSR/studies/8475"
"12","https://www.icpsr.umich.edu/web/ICPSR/studies/6067"
"13","https://www.icpsr.umich.edu/web/ICPSR/studies/7216"
"14","https://www.icpsr.umich.edu/web/ICPSR/studies/9196"
"15","https://www.icpsr.umich.edu/web/ICPSR/studies/7214"
"16","https://www.icpsr.umich.edu/web/ICPSR/studies/7655"
"17","https://www.icpsr.umich.edu/web/ICPSR/studies/7355"
"18","https://www.icpsr.umich.edu/web/ICPSR/studies/8703"
"19","https://www.icpsr.umich.edu/web/ICPSR/studies/7298"
"20","https://www.icpsr.umich.edu/web/ICPSR/studies/6896"
"21","https://www.icpsr.umich.edu/web/ICPSR/studies/3447"
"22","https://www.icpsr.umich.edu/web/ICPSR/studies/7213"
"23","https://www.icpsr.umich.edu/web/ICPSR/studies/7676"
"24","https://www.icpsr.umich.edu/web/ICPSR/studies/3158"
"25","https://www.icpsr.umich.edu/web/ICPSR/studies/3723"
"26","https://www.icpsr.umich.edu/web/ICPSR/studies/6036"
"27","https://www.icpsr.umich.edu/web/ICPSR/studies/2904"
"28","https://www.icpsr.umich.edu/web/ICPSR/studies/7259"
"29","https://www.icpsr.umich.edu/web/ICPSR/studies/9785"
"30","https://www.icpsr.umich.edu/web/ICPSR/studies/4008"
"31","https://www.icpsr.umich.edu/web/ICPSR/studies/4459"
"32","https://www.icpsr.umich.edu/web/ICPSR/studies/4124"
"33","https://www.icpsr.umich.edu/web/ICPSR/studies/4721"
"34","https://www.icpsr.umich.edu/web/ICPSR/studies/6316"
"35","https://www.icpsr.umich.edu/web/ICPSR/studies/22400"
"36","https://www.icpsr.umich.edu/web/ICPSR/studies/8678"
"37","https://www.icpsr.umich.edu/web/ICPSR/studies/6850"
"38","https://www.icpsr.umich.edu/web/ICPSR/studies/25101"
"39","https://www.icpsr.umich.edu/web/ICPSR/studies/9573"
"40","https://www.icpsr.umich.edu/web/ICPSR/studies/9252"
"41","https://www.icpsr.umich.edu/web/ICPSR/studies/3448"
"42","https://www.icpsr.umich.edu/web/ICPSR/studies/6669"
"43","https://www.icpsr.umich.edu/web/ICPSR/studies/33526"
"44","https://www.icpsr.umich.edu/web/ICPSR/studies/27648"
"45","https://www.icpsr.umich.edu/web/ICPSR/studies/9042"
"46","https://www.icpsr.umich.edu/web/ICPSR/studies/3722"
"47","https://www.icpsr.umich.edu/web/ICPSR/studies/30766"
"48","https://www.icpsr.umich.edu/web/ICPSR/studies/2910"
"49","https://www.icpsr.umich.edu/web/ICPSR/studies/3451"
"50","https://www.icpsr.umich.edu/web/ICPSR/studies/3162"
"51","https://www.icpsr.umich.edu/web/ICPSR/studies/2906"
"52","https://www.icpsr.umich.edu/web/ICPSR/studies/9335"
"53","https://www.icpsr.umich.edu/web/ICPSR/studies/2389"
"54","https://www.icpsr.umich.edu/web/ICPSR/studies/4465"
"55","https://www.icpsr.umich.edu/web/ICPSR/studies/3999"
"56","https://www.icpsr.umich.edu/web/ICPSR/studies/22401"
"57","https://www.icpsr.umich.edu/web/ICPSR/studies/35021"
"58","https://www.icpsr.umich.edu/web/ICPSR/studies/4125"
"59","https://www.icpsr.umich.edu/web/ICPSR/studies/4723"
"60","https://www.icpsr.umich.edu/web/ICPSR/studies/34586"
"61","https://www.icpsr.umich.edu/web/ICPSR/studies/7215"
"62","https://www.icpsr.umich.edu/web/ICPSR/studies/30767"
"63","https://www.icpsr.umich.edu/web/ICPSR/studies/9119"
"64","https://www.icpsr.umich.edu/web/ICPSR/studies/27650"
"65","https://www.icpsr.umich.edu/web/ICPSR/studies/25103"
"66","https://www.icpsr.umich.edu/web/ICPSR/studies/33527"
"67","https://www.icpsr.umich.edu/web/ICPSR/studies/33529"
"68","https://www.icpsr.umich.edu/web/ICPSR/studies/30769"
"69","https://www.icpsr.umich.edu/web/ICPSR/studies/30768"
"70","https://www.icpsr.umich.edu/web/ICPSR/studies/33528"
"71","https://www.icpsr.umich.edu/web/ICPSR/studies/2764"
"72","https://www.icpsr.umich.edu/web/ICPSR/studies/3721"
"73","https://www.icpsr.umich.edu/web/ICPSR/studies/33523"
"74","https://www.icpsr.umich.edu/web/ICPSR/studies/36122"
"75","https://www.icpsr.umich.edu/web/ICPSR/studies/34588"
"76","https://www.icpsr.umich.edu/web/ICPSR/studies/30763"
"77","https://www.icpsr.umich.edu/web/ICPSR/studies/3445"
"78","https://www.icpsr.umich.edu/web/ICPSR/studies/6754"
